Frequency,AngleAttack,ChordLength,FreeStreamVelocity,SuctionSide,Sound
800,0.0,0.3048,71.3,0.00266337,126.20100000000001
1000,0.0,0.3048,71.3,0.00266337,125.20100000000001
1250,0.0,0.3048,71.3,0.00266337,125.95100000000001
1600,0.0,0.3048,71.3,0.00266337,127.59100000000001
2000,0.0,0.3048,71.3,0.00266337,127.461
2500,0.0,0.3048,71.3,0.00266337,125.571
3150,0.0,0.3048,71.3,0.00266337,125.20100000000001
4000,0.0,0.3048,71.3,0.00266337,123.061
5000,0.0,0.3048,71.3,0.00266337,121.301
6300,0.0,0.3048,71.3,0.00266337,119.541
8000,0.0,0.3048,71.3,0.00266337,117.15100000000001
10000,0.0,0.3048,71.3,0.00266337,115.391
12500,0.0,0.3048,71.3,0.00266337,112.241
16000,0.0,0.3048,71.3,0.00266337,108.721
500,0.0,0.3048,55.5,0.00283081,126.416
630,0.0,0.3048,55.5,0.00283081,127.696
800,0.0,0.3048,55.5,0.00283081,128.086
1000,0.0,0.3048,55.5,0.00283081,126.96600000000001
1250,0.0,0.3048,55.5,0.00283081,126.086
1600,0.0,0.3048,55.5,0.00283081,126.986
2000,0.0,0.3048,55.5,0.00283081,126.616
2500,0.0,0.3048,55.5,0.00283081,124.10600000000001
3150,0.0,0.3048,55.5,0.00283081,123.236
4000,0.0,0.3048,55.5,0.00283081,121.10600000000001
5000,0.0,0.3048,55.5,0.00283081,119.60600000000001
6300,0.0,0.3048,55.5,0.00283081,117.976
8000,0.0,0.3048,55.5,0.00283081,116.476
10000,0.0,0.3048,55.5,0.00283081,113.07600000000001
12500,0.0,0.3048,55.5,0.00283081,111.07600000000001
200,0.0,0.3048,39.6,0.00310138,118.12899999999999
250,0.0,0.3048,39.6,0.00310138,119.319
315,0.0,0.3048,39.6,0.00310138,122.779
400,0.0,0.3048,39.6,0.00310138,124.809
500,0.0,0.3048,39.6,0.00310138,126.959
630,0.0,0.3048,39.6,0.00310138,128.629
800,0.0,0.3048,39.6,0.00310138,129.099
1000,0.0,0.3048,39.6,0.00310138,127.899
1250,0.0,0.3048,39.6,0.00310138,125.499
1600,0.0,0.3048,39.6,0.00310138,124.04899999999999
2000,0.0,0.3048,39.6,0.00310138,123.689
2500,0.0,0.3048,39.6,0.00310138,121.399
3150,0.0,0.3048,39.6,0.00310138,120.319
4000,0.0,0.3048,39.6,0.00310138,119.229
5000,0.0,0.3048,39.6,0.00310138,117.789
6300,0.0,0.3048,39.6,0.00310138,116.229
8000,0.0,0.3048,39.6,0.00310138,114.779
10000,0.0,0.3048,39.6,0.00310138,112.139
12500,0.0,0.3048,39.6,0.00310138,109.619
200,0.0,0.3048,31.7,0.00331266,117.195
250,0.0,0.3048,31.7,0.00331266,118.595
315,0.0,0.3048,31.7,0.00331266,122.765
400,0.0,0.3048,31.7,0.00331266,125.045
500,0.0,0.3048,31.7,0.00331266,127.315
630,0.0,0.3048,31.7,0.00331266,129.095
800,0.0,0.3048,31.7,0.00331266,129.235
1000,0.0,0.3048,31.7,0.00331266,127.365
1250,0.0,0.3048,31.7,0.00331266,124.355
1600,0.0,0.3048,31.7,0.00331266,122.365
2000,0.0,0.3048,31.7,0.00331266,122.375
2500,0.0,0.3048,31.7,0.00331266,120.755
3150,0.0,0.3048,31.7,0.00331266,119.135
4000,0.0,0.3048,31.7,0.00331266,118.145
5000,0.0,0.3048,31.7,0.00331266,115.645
